name,F1_rxnormId,F2_rxcui,F2_name,F2_synonym,F2_tty,F3_status,F3_rxcui,F3_ndc,F3_startDate,F3_endDate,Brand Name
liraglutide,475968,1860172,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy],Xultophy (insulin degludec 100 UNT / liraglutide 3.6 MG/ML) per 3 ML Pen Injector,SBD,direct,1860172,169291190,201701,202503,Xultophy
liraglutide,475968,1860172,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy],Xultophy (insulin degludec 100 UNT / liraglutide 3.6 MG/ML) per 3 ML Pen Injector,SBD,direct,1860172,169291197,201701,202503,Xultophy
liraglutide,475968,897126,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],3 ML Victoza 6 MG/ML Pen Injector,SBD,direct,897126,169406012,201002,202503,Victoza
liraglutide,475968,897126,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],3 ML Victoza 6 MG/ML Pen Injector,SBD,direct,897126,169406013,201002,202503,Victoza
liraglutide,475968,897126,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],3 ML Victoza 6 MG/ML Pen Injector,SBD,direct,897126,169406090,201003,202503,Victoza
liraglutide,475968,897126,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],3 ML Victoza 6 MG/ML Pen Injector,SBD,direct,897126,169406097,201012,202004,Victoza
liraglutide,475968,897126,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],3 ML Victoza 6 MG/ML Pen Injector,SBD,direct,897126,169406098,201305,202004,Victoza
liraglutide,475968,897126,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],3 ML Victoza 6 MG/ML Pen Injector,SBD,direct,897126,169406099,201503,202503,Victoza
liraglutide,475968,897126,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],3 ML Victoza 6 MG/ML Pen Injector,SBD,direct,897126,50090285300,201703,202503,Victoza
liraglutide,475968,897126,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],3 ML Victoza 6 MG/ML Pen Injector,SBD,direct,897126,50090450300,201911,202503,Victoza
liraglutide,475968,897126,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],3 ML Victoza 6 MG/ML Pen Injector,SBD,direct,897126,54569650700,201407,201706,Victoza
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,143914401,202502,202503,Liraglutide
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,143914402,202501,202503,Liraglutide
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,143914403,202501,202503,Liraglutide
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,480366719,202408,202503,Liraglutide
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,480366720,202408,202503,Liraglutide
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,480366722,202408,202503,Liraglutide
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,14403340001,202501,202503,Liraglutide
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,14403340002,202501,202503,Liraglutide
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,14403340003,202501,202503,Liraglutide
liraglutide,475968,897122,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 18 MG per 3 ML Pen Injector,SCD,direct,897122,50090750100,202503,202503,Liraglutide
